company_name,company_domain,ceo_name,founder_name,contact_email,linkedin_contact,number_of_employees,share_price_current,share_price_5y_ago
Cunningham-Ramirez,Education,Melinda Marshall,Amy Torres,jonesaustin@johnson-hopkins.net,https://www.linkedin.com/in/juliaatkinson,1298,232.36,159.93
Chen LLC,Finance,Gary Davis,Wayne Lewis,calvin77@smith.com,https://www.linkedin.com/in/robert43,846,479.35,511.39
Porter-Frey,Human Resources,Tanya Rogers,Linda Harris,andrewhernandez@wilson-brown.com,https://www.linkedin.com/in/rachael71,4130,291.15,292.14
Campos-Kim,Artificial Intelligence,Joseph Roth,Melissa York,timothyyoung@garza.com,https://www.linkedin.com/in/kempchristopher,5913,483.5,658.62
"Thompson, Harris and Turner",Education,Sandra Beard,Brandy Patton,wcruz@larsen.org,https://www.linkedin.com/in/barellano,5031,359.34,312.1
"Hudson, Medina and Jones",Finance,Robin Thomas,Isaiah Martinez,lynnklein@brown.biz,https://www.linkedin.com/in/jodi31,7844,370.03,456.66
"Sosa, Walker and Johnson",Information Technology,Joy Richards,Brian Mcfarland,thomasbarrera@kline-adams.info,https://www.linkedin.com/in/manningsherri,5873,87.59,115.7
"Simpson, Nielsen and Gray",Finance,Kelli Parsons,Sarah Smith,lramos@rollins.com,https://www.linkedin.com/in/rebecca79,9734,463.08,429.82
"Martinez, Stephens and Lopez",Human Resources,Jeffrey Thompson,Eric Leblanc,penny24@berry.com,https://www.linkedin.com/in/sheltonkyle,2587,28.85,35.93
Roth Ltd,Administration,Joshua Harrison,Richard Brown,margaretwiley@bass.net,https://www.linkedin.com/in/justin85,6950,271.16,160.64
Copeland-Mcdaniel,Information Technology,Jenny Pennington,Allison Morgan,elizabethmarshall@wilson.com,https://www.linkedin.com/in/andrew46,5341,431.14,604.47
"Maxwell, Cox and Wright",Automotive,Samantha Davis,Debra Haley,williamward@pratt.info,https://www.linkedin.com/in/zachary40,6365,494.8,633.2
Garza Group,Finance,Nicole Guzman,Lisa Williams,petersemily@macias-wilkins.org,https://www.linkedin.com/in/millereduardo,7684,263.29,214.32
Hicks-Christian,Retail,Zachary Wilson,Sara Le,roger68@rice.biz,https://www.linkedin.com/in/emily22,559,75.88,40.98
Adams-Frazier,Information Technology,Joan Snyder,Zachary Evans,maryhoffman@rosario.biz,https://www.linkedin.com/in/jacobhartman,5687,372.9,229.36
"Leblanc, Gillespie and Clark",Artificial Intelligence,Manuel Brooks,Rebecca Shaw,xavier79@perkins.info,https://www.linkedin.com/in/vmiller,7661,437.57,616.57
Martinez-Taylor,Manufacturing,Donna Day,Elaine Hull,laurie61@mcdowell.com,https://www.linkedin.com/in/cgarza,7059,43.96,28.76
Anderson Group,Artificial Intelligence,Michele Ramirez,Scott George,lisaallen@boyd.com,https://www.linkedin.com/in/dianesimmons,9619,141.46,152.99
West LLC,Education,William Johnson,Jaime Ibarra,sharon27@powell-weber.com,https://www.linkedin.com/in/watsonjames,5902,246.31,276.55
Lester-Dillon,Human Resources,Monica Thomas,Ryan Mcclain,migueljohnson@allen-martin.org,https://www.linkedin.com/in/lawrenceanne,3136,223.95,231.62
"Barnes, Hart and Hawkins",Human Resources,Paula Abbott,Jeremy Robinson,piercechelsea@gonzalez.com,https://www.linkedin.com/in/ochoajames,9459,410.66,567.75
Rodriguez-Adams,Retail,Benjamin Weaver,Terri Sparks,pmurray@wong.com,https://www.linkedin.com/in/rogerstyler,9160,330.09,396.35
Morrow LLC,Healthcare,Kelly Johnson,Karen Stephens,hillamber@martin-mayer.net,https://www.linkedin.com/in/hroman,8219,252.77,285.99
Diaz LLC,Information Technology,Nicholas Carter,Amber Ross,rebecca46@bell-ball.org,https://www.linkedin.com/in/warnersara,4521,405.28,258.13
Kelly-Torres,Retail,Todd Perez,Christopher Armstrong,jocelynlambert@richardson.biz,https://www.linkedin.com/in/derrick63,1939,319.06,422.84
Johnson LLC,Manufacturing,Joseph Garcia,Bryce Henderson,lisa87@patterson.net,https://www.linkedin.com/in/nicholas38,8550,99.76,100.81
Johns LLC,Human Resources,Robin Holland,Diamond Bruce,nbowman@nichols-flores.com,https://www.linkedin.com/in/kathryn67,6755,496.83,621.93
Barry-Vincent,Education,Andrew Brown,Gary Simon,wscott@cline-jackson.com,https://www.linkedin.com/in/jack50,1801,350.97,212.15
